name,ring,quadrant,isNew,description
Jupyter,Adopt,Tools,TRUE,
Active MQ,Assess,Languages and Frameworks,TRUE,
Acunetix,Adopt,Tools,TRUE,
Agile - Scrum,Adopt,Platform,TRUE,
AIX,Assess,Platform,TRUE,
AJAX,Adopt,Languages and Frameworks,TRUE,
Anaconda,Assess,Tools,TRUE,
Android,Adopt,Techniques,TRUE,
Angular,Adopt,Languages and Frameworks,TRUE,
Angular (6-11),Adopt,Languages and Frameworks,TRUE,
Angular2,Adopt,Languages and Frameworks,TRUE,
Ansible,Adopt,Techniques,TRUE,
Ansible Tower,Assess,Techniques,TRUE,
Ant,Adopt,Platform,TRUE,
AnyDesk,Adopt,Tools,TRUE,
Apache,Adopt,Platform,TRUE,
Apache - Netty,Adopt,Languages and Frameworks,TRUE,
Apache Ignite,Trail,Platform,TRUE,
Apache Kafka,Adopt,Languages and Frameworks,TRUE,
Apache Pig,Assess,Tools,TRUE,
Apache tomcat,Adopt,Platform,TRUE,
Apache ZooKeeper,Adopt,Techniques,TRUE,
App security,Adopt,Techniques,TRUE,
Aricent,Adopt,Tools,TRUE,
Asana,Adopt,Platform,TRUE,
atop,Adopt,Languages and Frameworks,TRUE,
Avalanche,Adopt,Languages and Frameworks,TRUE,
AWK,Adopt,Tools,TRUE,
AWS,Adopt,Platform,TRUE,
B2 (BoostBuild),Assess,Platform,TRUE,
Beyond Compare,Adopt,Tools,TRUE,
BitBucket,Trail,Platform,TRUE,
Boost,Adopt,Languages and Frameworks,TRUE,
Bootstrap,Adopt,Languages and Frameworks,TRUE,
Build automation,Adopt,Techniques,TRUE,
BURP,Adopt,Tools,TRUE,
Business Value/Complexity Matrix,Adopt,Techniques,TRUE,
C,Adopt,Languages and Frameworks,TRUE,
C#,Assess,Tools,TRUE,
C++,Adopt,Languages and Frameworks,TRUE,
c3p0,Adopt,Languages and Frameworks,TRUE,
Cassandra,Assess,Platform,TRUE,
CAST,Adopt,Tools,TRUE,
CCXML,Adopt,Languages and Frameworks,TRUE,
CentOS,Adopt,Platform,TRUE,
check,Assess,Languages and Frameworks,TRUE,
Checkmarx,Adopt,Tools,TRUE,
Chef,Assess,Techniques,TRUE,
Chrome,Adopt,Tools,TRUE,
Chronograf,Assess,Platform,TRUE,
ClickHouse,Assess,Platform,TRUE,
CloudFoundry,Trail,Platform,TRUE,
CMake,Assess,Platform,TRUE,
ComDocs,Adopt,Platform,TRUE,
Compass,Adopt,Platform,TRUE,
Comviva,Adopt,Tools,TRUE,
Configmap,Trail,Platform,TRUE,
Confluence,Adopt,Platform,TRUE,
Consul,Adopt,Platform,TRUE,
Continuous deploy,Adopt,Techniques,TRUE,
Continuous Integration,Adopt,Techniques,TRUE,
Continuous test,Adopt,Techniques,TRUE,
COS360,Stop,Techniques,TRUE,
CouchBase,Assess,Platform,TRUE,
CouchDB,Trail,Platform,TRUE,
coverage.py (python),Assess,Tools,TRUE,
Coverity,Assess,Tools,TRUE,
cppunit,Assess,Languages and Frameworks,TRUE,
Crucible,Adopt,Tools,TRUE,
Crystal Reports,Assess,Techniques,TRUE,
CUBOT,Stop,Techniques,TRUE,
CVS,Stop,Platform,TRUE,
DB security,Adopt,Techniques,TRUE,
Deployment automation,Adopt,Techniques,TRUE,
dexguard,Adopt,Techniques,TRUE,
Dialogic,Adopt,Tools,TRUE,
Django,Adopt,Platform,TRUE,
Docker,Trail,Platform,TRUE,
Doctrine,Assess,Languages and Frameworks,TRUE,
dtrace,Adopt,Techniques,TRUE,
Eclipse,Adopt,Tools,TRUE,
Eclipse MAT,Adopt,Techniques,TRUE,
Elastic Search,Adopt,Platform,TRUE,
Exchange,Adopt,Tools,TRUE,
Express.js,Adopt,Languages and Frameworks,TRUE,
F5,Adopt,Languages and Frameworks,TRUE,
FindBugs,Adopt,Tools,TRUE,
FireBug,Adopt,Languages and Frameworks,TRUE,
Firefox (Mozilla),Adopt,Tools,TRUE,
Function Point Method,Adopt,Techniques,TRUE,
Galera,Adopt,Platform,TRUE,
gcov (C/C++),Adopt,Tools,TRUE,
gdb,Adopt,Techniques,TRUE,
Gerrit,Adopt,Tools,TRUE,
Git,Adopt,Platform,TRUE,
Git client,Adopt,Tools,TRUE,
Gitlab,Adopt,Platform,TRUE,
Go,Assess,Languages and Frameworks,TRUE,
Google Office,Adopt,Platform,TRUE,
GoToMeeting,Adopt,Tools,TRUE,
gprof,Adopt,Techniques,TRUE,
Gradle,Adopt,Platform,TRUE,
Grafana,Adopt,Platform,TRUE,
H2,Adopt,Platform,TRUE,
HA Proxy,Adopt,Platform,TRUE,
Hadoop (Cloudera),Assess,Tools,TRUE,
Hadoop (Community),Assess,Tools,TRUE,
Hazelcast,Assess,Platform,TRUE,
Hbase,Assess,Tools,TRUE,
Helm,Trail,Platform,TRUE,
Hibernate,Adopt,Languages and Frameworks,TRUE,
Hive,Adopt,Tools,TRUE,
HP-AVAN,Adopt,Tools,TRUE,
HP-UX,Assess,Platform,TRUE,
HSQL,Adopt,Platform,TRUE,
HTML5,Adopt,Tools,TRUE,
HyperLedger,Assess,Platform,TRUE,
IBM MQ Series,Assess,Languages and Frameworks,TRUE,
IIS,Assess,Platform,TRUE,Windows based web server
InfluxDB,Adopt,Platform,TRUE,
Infobright,Adopt,Platform,TRUE,
Ingress,Trail,Platform,TRUE,
IntelliJ,Adopt,Tools,TRUE,
IOS,Adopt,Techniques,TRUE,
IP Traf,Adopt,Platform,TRUE,
Istanbul (JavaScript),Adopt,Tools,TRUE,
ixguard,Adopt,Techniques,TRUE,
jacoco (JAVA),Adopt,Tools,TRUE,
Jasmine,Adopt,Languages and Frameworks,TRUE,
Jasper,Adopt,Techniques,TRUE,
Java,Adopt,Languages and Frameworks,TRUE,
Java script,Adopt,Tools,TRUE,
Javascript,Adopt,Languages and Frameworks,TRUE,
JBoss,Adopt,Languages and Frameworks,TRUE,
jdb,Adopt,Techniques,TRUE,
JDK tools,Adopt,Techniques,TRUE,
Jenkins,Adopt,Platform,TRUE,
jFrog Artifactory,Adopt,Platform,TRUE,
Jira,Adopt,Platform,TRUE,
JMC (Java Mission Control),Adopt,Techniques,TRUE,
jmeter,Adopt,Languages and Frameworks,TRUE,
jmxterm,Adopt,Techniques,TRUE,
Jprofiler,Adopt,Techniques,TRUE,
Jquery,Adopt,Languages and Frameworks,TRUE,
JSSE,Assess,Languages and Frameworks,TRUE,
Kapacitor,Adopt,Languages and Frameworks,TRUE,
KeepAlived,Adopt,Techniques,TRUE,
Keras,Adopt,Tools,TRUE,
Kibana,Adopt,Platform,TRUE,
Klocworks,Assess,Tools,TRUE,
Kubernetes,Trail,Platform,TRUE,
KVM,Adopt,Platform,TRUE,
LCN,Adopt,Tools,TRUE,
libevent,Adopt,Languages and Frameworks,TRUE,
Linux HA,Adopt,Techniques,TRUE,
log4j,Adopt,Languages and Frameworks,TRUE,
logback,Adopt,Languages and Frameworks,TRUE,
Lua,Adopt,Tools,TRUE,
Lync,Adopt,Tools,TRUE,
Make,Adopt,Platform,TRUE,
MakePP,Adopt,Platform,TRUE,
MAP-R,Assess,Tools,TRUE,
MariaDB,Adopt,Platform,TRUE,
MariaDB Columnar,Trail,Platform,TRUE,
Material UI,Adopt,Languages and Frameworks,TRUE,UI framework
Maven,Adopt,Platform,TRUE,
Memcached,Stop,Platform,TRUE,
Metabase,Adopt,Techniques,TRUE,
Microsoft Azure,Trail,Platform,TRUE,
Microsoft Edge,Adopt,Tools,TRUE,
moba xterm,Adopt,Tools,TRUE,
Mobicents,Adopt,Tools,TRUE,
Mocha,Assess,Languages and Frameworks,TRUE,
MongoDB,Adopt,Platform,TRUE,
monit,Adopt,Languages and Frameworks,TRUE,
MoSCoW Rule,Adopt,Techniques,TRUE,
mremoteng,Assess,Tools,TRUE,
MS Office,Adopt,Platform,TRUE,
MS Office (Project),Adopt,Platform,TRUE,
MULE ESB,Stop,Languages and Frameworks,TRUE,
MySQL,Adopt,Platform,TRUE,
MYSQL workbench,Adopt,Tools,TRUE,
nagios,Adopt,Languages and Frameworks,TRUE,
Network security,Adopt,Techniques,TRUE,
Nginx,Adopt,Platform,TRUE,
Node Express,Adopt,Platform,TRUE,
Node.js,Adopt,Languages and Frameworks,TRUE,
