name,ring,quadrant,isNew,description
Active MQ,Assess,Languages and Frameworks,TRUE,
AIX,Assess,Platform,TRUE,
Anaconda,Assess,Tools,TRUE,
Ansible Tower,Assess,Techniques,TRUE,
Apache Ignite,Trail,Platform,TRUE,
Apache Pig,Assess,Tools,TRUE,
B2 (BoostBuild),Assess,Platform,TRUE,
BitBucket,Trail,Platform,TRUE,
C#,Assess,Tools,TRUE,
Cassandra,Assess,Platform,TRUE,
check,Assess,Languages and Frameworks,TRUE,
Chef,Assess,Techniques,TRUE,
Chronograf,Assess,Platform,TRUE,
ClickHouse,Assess,Platform,TRUE,
CloudFoundry,Trail,Platform,TRUE,
CMake,Assess,Platform,TRUE,
Configmap,Trail,Platform,TRUE,
COS360,Stop,Techniques,TRUE,
CouchBase,Assess,Platform,TRUE,
CouchDB,Trail,Platform,TRUE,
coverage.py (python),Assess,Tools,TRUE,
Coverity,Assess,Tools,TRUE,
cppunit,Assess,Languages and Frameworks,TRUE,
Crystal Reports,Assess,Techniques,TRUE,
CUBOT,Stop,Techniques,TRUE,
CVS,Stop,Platform,TRUE,
Docker,Trail,Platform,TRUE,
Doctrine,Assess,Languages and Frameworks,TRUE,
Go,Assess,Languages and Frameworks,TRUE,
Hadoop (Cloudera),Assess,Tools,TRUE,
Hadoop (Community),Assess,Tools,TRUE,
Hazelcast,Assess,Platform,TRUE,
Hbase,Assess,Tools,TRUE,
Helm,Trail,Platform,TRUE,
HP-UX,Assess,Platform,TRUE,
HyperLedger,Assess,Platform,TRUE,
IBM MQ Series,Assess,Languages and Frameworks,TRUE,
IIS,Assess,Platform,TRUE,Windows based web server
Ingress,Trail,Platform,TRUE,
JSSE,Assess,Languages and Frameworks,TRUE,
Klocworks,Assess,Tools,TRUE,
Kubernetes,Trail,Platform,TRUE,
MAP-R,Assess,Tools,TRUE,
MariaDB Columnar,Trail,Platform,TRUE,
Memcached,Stop,Platform,TRUE,
Microsoft Azure,Trail,Platform,TRUE,
Mocha,Assess,Languages and Frameworks,TRUE,
mremoteng,Assess,Tools,TRUE,
MULE ESB,Stop,Languages and Frameworks,TRUE,
Omega / BIRT,Stop,Techniques,TRUE,
OpenCV,Assess,Languages and Frameworks,TRUE,
OpenShift,Assess,Platform,TRUE,
Oracle Cloud,Trail,Platform,TRUE,
Oracle Columnar,Assess,Platform,TRUE,
Pentaho,Assess,Techniques,TRUE,
PlantML,Trail,Techniques,TRUE,
Pro*C,Stop,Languages and Frameworks,TRUE,
Prometheus,Trail,Languages and Frameworks,TRUE,
PrometheusDB,Trail,Platform,TRUE,
Puppet,Assess,Techniques,TRUE,
PyCharm,Assess,Tools,TRUE,
Redis sentinel,Assess,Platform,TRUE,
Review Board,Assess,Tools,TRUE,
Rhino,Assess,Languages and Frameworks,TRUE,
Ruby,Assess,Tools,TRUE,
Sahi,Stop,Languages and Frameworks,TRUE,
sensu,Stop,Languages and Frameworks,TRUE,
SimpleCov (Ruby),Assess,Tools,TRUE,
Smart GWT,Stop,Languages and Frameworks,TRUE,
Solaris (SPARC),Stop,Platform,TRUE,
Struts,Stop,Languages and Frameworks,TRUE,
superputty,Assess,Tools,TRUE,
SuperSet,Trail,Techniques,TRUE,
TensorFlow,Assess,Tools,TRUE,
Vegeta,Assess,Languages and Frameworks,TRUE,
Waterfall,Stop,Platform,TRUE,
WebLogic,Assess,Platform,TRUE,
Xen,Trail,Platform,TRUE,
Zoho,Stop,Platform,TRUE,
Jupyter,Adopt,Tools,TRUE,
Acunetix,Adopt,Languages and Frameworks,TRUE,
Angular (6-11),Adopt,Languages and Frameworks,TRUE,
Ansible,Adopt,Techniques,TRUE,
AnyDesk,Adopt,Tools,TRUE,
Apache Kafka,Adopt,Languages and Frameworks,TRUE,
Apache tomcat,Adopt,Platform,TRUE,
Apache ZooKeeper,Adopt,Techniques,TRUE,
App security,Adopt,Techniques,TRUE,
AWS,Adopt,Platform,TRUE,
Bootstrap,Adopt,Languages and Frameworks,TRUE,
Build automation,Adopt,Techniques,TRUE,
BURP,Adopt,Tools,TRUE,
Business Value/Complexity Matrix,Adopt,Techniques,TRUE,
C++,Adopt,Languages and Frameworks,TRUE,
c3p0,Adopt,Languages and Frameworks,TRUE,
CCXML,Adopt,Languages and Frameworks,TRUE,
Confluence,Adopt,Platform,TRUE,
Continuous deploy,Adopt,Techniques,TRUE,
