name,ring,quadrant,isNew,description
Jupyter,Adopt,Tools,TRUE,
Active MQ,Assess,Languages and Frameworks,TRUE,
Acunetix,Assess,Tools,TRUE,
Agile - Scrum,Assess,Platform,TRUE,
AIX,Adopt,Platform,TRUE,
AJAX,Adopt,Languages and Frameworks,TRUE,
Anaconda,Adopt,Tools,TRUE,
Android,Adopt,Techniques,TRUE,
Angular,Adopt,Languages and Frameworks,TRUE,
Angular (6-11),Adopt,Languages and Frameworks,TRUE,
Angular2,Adopt,Languages and Frameworks,TRUE,
Ansible,Assess,Techniques,TRUE,
Ansible Tower,Adopt,Techniques,TRUE,
Ant,Assess,Platform,TRUE,
Apache,Adopt,Platform,TRUE,
Apache - Netty,Stop,Languages and Frameworks,TRUE,
Apache Ignite,Assess,Platform,TRUE,
Apache Kafka,Stop,Languages and Frameworks,TRUE,
Apache Pig,Assess,Tools,TRUE,
Apache tomcat,Adopt,Platform,TRUE,
App security,Adopt,Techniques,TRUE,
Aricent,Trail,Tools,TRUE,
Asana,Adopt,Platform,TRUE,
atop,Stop,Languages and Frameworks,TRUE,
AWK,Adopt,Tools,TRUE,
AWS,Adopt,Platform,TRUE,
B2 (BoostBuild),Trail,Platform,TRUE,
BitBucket,Trail,Platform,TRUE,
Boost,Assess,Languages and Frameworks,TRUE,
Bootstrap,Adopt,Languages and Frameworks,TRUE,
Build automation,Adopt,Techniques,TRUE,
BURP,Adopt,Tools,TRUE,
Business Value/Complexity Matrix,Adopt,Techniques,TRUE,
C,Adopt,Languages and Frameworks,TRUE,
C++,Adopt,Languages and Frameworks,TRUE,
Cassandra,Trail,Tools,TRUE,
CAST,Adopt,Tools,TRUE,
CCXML,Adopt,Languages and Frameworks,TRUE,
CentOS,Assess,Platform,TRUE,
check,Trail,Languages and Frameworks,TRUE,
Checkmarx,Adopt,Tools,TRUE,
Chef,Adopt,Techniques,TRUE,
Chrome,Adopt,Tools,TRUE,
ClickHouse,Trail,Platform,TRUE,
CloudFoundry,Assess,Platform,TRUE,
CMake,Trail,Platform,TRUE,
ComDocs,Adopt,Platform,TRUE,
Compass,Assess,Platform,TRUE,
Comviva,Trail,Tools,TRUE,
Configmap,Adopt,Platform,TRUE,
Confluence,Adopt,Platform,TRUE,
Consul,Trail,Platform,TRUE,
Continuous deploy,Adopt,Techniques,TRUE,
Continuous Integration,Adopt,Techniques,TRUE,
Continuous test,Adopt,Techniques,TRUE,
CouchBase,Trail,Platform,TRUE,
CouchDB,Trail,Platform,TRUE,
coverage.py (python),Assess,Tools,TRUE,
cppunit,Trail,Languages and Frameworks,TRUE,
Crucible,Trail,Tools,TRUE,
CVS,Adopt,Platform,TRUE,
DB security,Adopt,Techniques,TRUE,
Deployment automation,Adopt,Techniques,TRUE,
dexguard,Adopt,Techniques,TRUE,
Dialogic,Stop,Tools,TRUE,
Django,Assess,Languages and Frameworks,TRUE,
Docker,Assess,Platform,TRUE,
Doctrine,Assess,Languages and Frameworks,TRUE,
dtrace,Adopt,Platform,TRUE,
Eclipse,Adopt,Tools,TRUE,
Elastic Search,Assess,Platform,TRUE,
Ethereum,Adopt,Platform,TRUE,
Express.js,Assess,Languages and Frameworks,TRUE,
F5,Adopt,Languages and Frameworks,TRUE,
FindBugs,Adopt,Tools,TRUE,
FireBug,Trail,Languages and Frameworks,TRUE,
Firefox (Mozilla),Adopt,Tools,TRUE,
Function Point Method,Adopt,Techniques,TRUE,
Galera,Adopt,Platform,TRUE,
gcov (C/C++),Trail,Tools,TRUE,
gdb,Adopt,Techniques,TRUE,
Gerrit,Stop,Tools,TRUE,
Git,Adopt,Platform,TRUE,
Git client,Trail,Tools,TRUE,
Gitlab,Adopt,Platform,TRUE,
Go,Adopt,Languages and Frameworks,TRUE,
Google Office,Adopt,Platform,TRUE,
Gradle,Adopt,Platform,TRUE,
Grafana,Adopt,Platform,TRUE,
H2,Adopt,Platform,TRUE,
HA Proxy,Adopt,Platform,TRUE,
Hadoop (Cloudera),Trail,Tools,TRUE,
Hadoop (Community),Trail,Tools,TRUE,
Hazelcast,Adopt,Platform,TRUE,
Hbase,Assess,Tools,TRUE,
Helm,Adopt,Platform,TRUE,
Hibernate,Assess,Languages and Frameworks,TRUE,
Hive,Assess,Tools,TRUE,
HP-UX,Trail,Platform,TRUE,
HSQL,Assess,Platform,TRUE,
HTML5,Adopt,Tools,TRUE,
HyperLedger,Adopt,Platform,TRUE,
IBM MQ Series,Assess,Languages and Frameworks,TRUE,
InfluxDB,Adopt,Platform,TRUE,
Infobright,Adopt,Platform,TRUE,
Ingress,Adopt,Platform,TRUE,
IntelliJ,Adopt,Tools,TRUE,
IOS,Adopt,Techniques,TRUE,
IP Traf,Adopt,Platform,TRUE,
Istanbul (JavaScript),Adopt,Tools,TRUE,
ixguard,Stop,Techniques,TRUE,
jacoco (JAVA),Trail,Tools,TRUE,
Jasmine,Trail,Languages and Frameworks,TRUE,
Java,Assess,Languages and Frameworks,TRUE,
Java script,Adopt,Tools,TRUE,
Javascript,Adopt,Tools,TRUE,
JBoss,Trail,Languages and Frameworks,TRUE,
jdb,Adopt,Techniques,TRUE,
JDK tools,Trail,Techniques,TRUE,
Jenkins,Trail,Platform,TRUE,
jFrog Artifactory,Adopt,Platform,TRUE,
Jira,Adopt,Platform,TRUE,
JMC (Java Mission Control),Assess,Techniques,TRUE,
Jprofiler,Adopt,Techniques,TRUE,
Jquery,Adopt,Languages and Frameworks,TRUE,
JSSE,Assess,Languages and Frameworks,TRUE,
Kapacitor,Adopt,Languages and Frameworks,TRUE,
KeepAlived,Assess,Techniques,TRUE,
Keras,Adopt,Tools,TRUE,
Kibana,Adopt,Platform,TRUE,
Kubernetes,Stop,Platform,TRUE,
KVM,Trail,Platform,TRUE,
libevent,Assess,Languages and Frameworks,TRUE,
Linux HA,Adopt,Techniques,TRUE,
log4j,Adopt,Languages and Frameworks,TRUE,
logback,Stop,Languages and Frameworks,TRUE,
Lync,Adopt,Tools,TRUE,
Make,Adopt,Platform,TRUE,
MakePP,Assess,Platform,TRUE,
MAP-R,Trail,Tools,TRUE,
MariaDB,Trail,Platform,TRUE,
MariaDB Columnar,Adopt,Platform,TRUE,
Material UI,Adopt,Languages and Frameworks,TRUE,UI framework
Maven,Adopt,Platform,TRUE,
Memcached,Adopt,Platform,TRUE,
Microsoft Azure,Adopt,Platform,TRUE,
Microsoft Edge,Adopt,Tools,TRUE,
Mocha,Trail,Languages and Frameworks,TRUE,
MongoDB,Assess,Platform,TRUE,
monit,Assess,Languages and Frameworks,TRUE,
MoSCoW Rule,Adopt,Techniques,TRUE,
MS Office,Stop,Platform,TRUE,
MS Office (Project),Trail,Platform,TRUE,
MULE ESB,Adopt,Languages and Frameworks,TRUE,
nagios,Assess,Languages and Frameworks,TRUE,
Network security,Adopt,Techniques,TRUE,
Nginx,Adopt,Platform,TRUE,
Node Express,Adopt,Platform,TRUE,
Node.js,Adopt,Languages and Frameworks,TRUE,
Notepad++,Adopt,Tools,TRUE,
Octave,Trail,Tools,TRUE,
Open Stack,Adopt,Platform,TRUE,
OpenCV,Stop,Languages and Frameworks,TRUE,
OpenShift,Adopt,Platform,TRUE,
openssl,Assess,Languages and Frameworks,TRUE,
Oracle,Adopt,Platform,TRUE,
Oracle Cloud,Stop,Platform,TRUE,
Oracle Cluster,Stop,Techniques,TRUE,
Oracle Columnar,Trail,Platform,TRUE,
Oracle Golden gate,Adopt,Platform,TRUE,
Oracle RAC,Adopt,Platform,TRUE,
Oracle SQL Developer,Adopt,Tools,TRUE,
OS Level security,Trail,Techniques,TRUE,
OVM,Trail,Languages and Frameworks,TRUE,
OWASP,Adopt,Tools,TRUE,
PaceMaker,Trail,Techniques,TRUE,
Pentaho,Adopt,Techniques,TRUE,
perf,Assess,Techniques,TRUE,
PHP-FPM,Adopt,Platform,TRUE,
PLSQL,Adopt,Languages and Frameworks,TRUE,
PMD,Adopt,Tools,TRUE,
Postgres,Trail,Platform,TRUE,
Pro*C,Adopt,Languages and Frameworks,TRUE,
proguard,Trail,Techniques,TRUE,
Prometheus,Adopt,Languages and Frameworks,TRUE,
PrometheusDB,Adopt,Platform,TRUE,
Protractor,Adopt,Languages and Frameworks,TRUE,
Puppet,Assess,Techniques,TRUE,
